1.E4B9B1|ラン;ロン#みだ.れる;みだ.る;みだ.す;みだ;おさ.める;わた.る#ら|riot, war, disorder, disturb|tumulte, émeute, troubles, désordre, guerre, confusion|disturbio, desorden, confusión, absurdamente, irrazonablemente, guerra, confundirse, estar desordenado, ser molestado, confundir, desordenar, molestar|
1.E4B9B3|ニュウ#ちち;ち#|milk, breasts|lait, seins|leche, pecho|
1.E4B9B4|セツ;ゼチ#ひね.る#||||
1.E4B9B5|エン#すす.む#|to enter, to make progress, to advance, to urge forward|||
1.E4B9B9|カン;ケン#かわ.く;かわ.かす;ほ.す;ひ.る;いぬい#|drought, dry, dessicate, drink up, heaven, emperor|||
1.E4B9BE|カン;ケン#かわ.く;かわ.かす;ほ.す;ひ.る;いぬい#|drought, dry, dessicate, drink up, heaven, emperor|sécheresse, sécher, dessécher, vider (verre), cieux, empereur|seco, secar, secarse, desecarse|
1.E4B9BF|チ;ジ#おさ.める#|to cure, to heal|||
1.E4BA80|キ;キュウ;キン#かめ#ひさ;ひさし|tortoise, turtle|tortue|tortuga|
1.E4BA82|ラン;ロン#みだ.れる;みだ.る;みだ.す;みだ.れ;おさ.める;わた.る#|war, disorder, riot, disturb|||
1.E4BA85|ケツ#かぎ#|feathered stick, barb radical (no. 6)|||
1.E4BA86|リョウ##さとる|complete, finish|achevé, fini|completar, alcanzar un fin, finalizar, comprender|
1.E4BA88|ヨ;シャ#あらかじ.め#|beforehand, previous, myself, I|auparavant, à l'avance, moi, je|de antemano, previo|
1.E4BA89|ソウ#あらそ.う;いか.でか#|contend, dispute, argue|se quereller, se disputer|pelear, disputar, discutir, competir|
1.E4BA8A|ジ;シ;ズ#こと;つか.う;つか.える#|affair, matter, business, to serve, accident, incident|||
1.E4BA8B|ジ;ズ#こと;つか.う;つか.える#ろ|matter, thing, fact, business, reason, possibly|fait, chose, matière, affaire, raison, peut-être|cosa, hecho, asunto, acción|
