KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
sumi, 隅, corner, nook, recess, , |sumi|隅|corner, nook, recess|Noun|Abstract Concept / Fact|||||||
hiragana, ひらがな, Hiragana, , |hiragana|ひらがな|Hiragana|Noun|Abstract Concept / Fact|||360||||
kaji, 家事, housework, domestic chores, family affairs, household matters, , |kaji|家事|housework, domestic chores, family affairs, household matters|Noun|Abstract Concept / Fact|||||||
eiyou, 栄養, 営養, nutrition, nourishment, , |eiyou|栄養, 営養|nutrition, nourishment|Noun|Abstract Concept / Fact|||||||
eiyoushicchou, 栄養失調, malnutrition, , |eiyoushicchou|栄養失調|malnutrition|Noun|Abstract Concept / Fact|||||||
bunya, 分野, field, sphere, realm, division, branch, , |bunya|分野|field, sphere, realm, division, branch|Noun|Abstract Concept / Fact|||||||
kibo, 規模, scale, scope, plan, structure, , |kibo|規模|scale, scope, plan, structure|Noun|Abstract Concept / Fact|||||||
keizai, 経済, economics, business, finance, economy, , |keizai|経済|economics, business, finance, economy|Noun|Abstract Concept / Fact|||||||
kyoku, 局, bureau, department, office, affair, situation, , |kyoku|局|bureau, department, office, affair, situation|Noun|Abstract Concept / Fact|||||||
tairyoku, 体力, physical strength, , |tairyoku|体力|physical strength|Noun|Abstract Concept / Fact|||||||
renpou, 連邦, commonwealth, federation of states, confederation, union, , |renpou|連邦|commonwealth, federation of states, confederation, union|Noun|Abstract Concept / Fact|||||||
seimeitai, 生命体, life-form, , |seimeitai|生命体|life-form|Noun|Abstract Concept / Fact|||||||
kan'i, 簡易, simplicity, convenience, easiness, quasi-, kani, |kan'i|簡易|simplicity, convenience, easiness, quasi-|Noun|Abstract Concept / Fact||||||kani|
shou, 象, phenomenon, , |shou|象|phenomenon|Noun|Abstract Concept / Fact|||||||
gouon, 轟音, thunderous roar, , |gouon|轟音|thunderous roar|Noun|Abstract Concept / Fact|||||||
ishi, 意志, will, volition, intention, intent, determination, , |ishi|意志|will, volition, intention, intent, determination|Noun|Abstract Concept / Fact|||||||
seiseki, 成績, results, record, grades, performance, , |seiseki|成績|results, record, grades, performance|Noun|Abstract Concept / Fact|||||||
kei, 計, plan, meter, measuring device, , |kei|計|plan, meter, measuring device|Noun|Abstract Concept / Fact|||||||
saku, 作, a work, a harvest, , |saku|作|a work, a harvest|Noun|Abstract Concept / Fact|||||||
saku, 策, plan, policy, , |saku|策|plan, policy|Noun|Abstract Concept / Fact|||||||
kei, 刑, penalty, sentence, punishment, , |kei|刑|penalty, sentence, punishment|Noun|Abstract Concept / Fact|||||||
shou, 章, chapter, section, , |shou|章|chapter, section|Noun|Abstract Concept / Fact|||||||
ganriki, 眼力, insight, power of observation, , |ganriki|眼力|insight, power of observation|Noun|Abstract Concept / Fact|||||||
shou, 賞, prize, award, , |shou|賞|prize, award|Noun|Abstract Concept / Fact|||||||
yoshimi, 好, 誼, friendship, friendly relations, connection, relation, intimacy, , |yoshimi|好, 誼|friendship, friendly relations, connection, relation, intimacy|Noun|Abstract Concept / Fact|||||||
dou, 動, motion, change, confusion, , |dou|動|motion, change, confusion|Noun|Abstract Concept / Fact|||||||
hyou, 票, vote, ballot, , |hyou|票|vote, ballot|Noun|Abstract Concept / Fact|||||||
eiyoubun, 栄養分, nutriment, nutritious substance, nourishment, , |eiyoubun|栄養分|nutriment, nutritious substance, nourishment|Noun|Abstract Concept / Fact|||||||
seikai, 正解, correct, right, , |seikai|正解|correct, right|Noun|Abstract Concept / Fact|||||||
sugata, 姿, figure, form, shape, appearance, dress, guise, state, condition, picture, image, form, , |sugata|姿|figure, form, shape, appearance, dress, guise, state, condition, picture, image, form|Noun|Abstract Concept / Fact|||||||
seikai, 政界, political world, , |seikai|政界|political world|Noun|Abstract Concept / Fact|||||||
ten, 点, spot, mark, point, dot, score, point, , |ten|点|spot, mark, point, dot, score, point|Noun|Abstract Concept / Fact|||||||
eiyouso, 栄養素, nutrient, , |eiyouso|栄養素|nutrient|Noun|Abstract Concept / Fact|||||||
arisama, 有様, state, condition, circumstance, truth, , |arisama|有様|state, condition, circumstance, truth|Noun|Abstract Concept / Fact|||||||
kankyou, 環境, environment, circumstances, , |kankyou|環境|environment, circumstances|Noun|Abstract Concept / Fact|||||||
kakusa, 格差, qulitative difference, disparity, gap, , |kakusa|格差|qulitative difference, disparity, gap|Noun|Abstract Concept / Fact|||||||
gokko, ゴッコ, something done together, game of make-believe, , |gokko|ゴッコ|something done together, game of make-believe|Noun|Abstract Concept / Fact|||||||
kanousei, 可能性, potentiality, likelihood, possibility, availability, , |kanousei|可能性|potentiality, likelihood, possibility, availability|Noun|Abstract Concept / Fact|||||||
