KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
tanjoubi, 誕生日, birthday, , |tanjoubi|誕生日|birthday|Noun|Abstract Concept / Fact|||87||||
seinengappi, 生年月日, birth date, , |seinengappi|生年月日|birth date|Noun|Abstract Concept / Fact|||||||
oufuku, 往復, round-trip, , |oufuku|往復|round-trip|Noun|Abstract Concept / Fact|||||||
senkou, 専攻, major subject, specialty, special study, , |senkou|専攻|major subject, specialty, special study|Noun|Abstract Concept / Fact|||||||
kega, 怪我, injury, hurt, wound, , |kega|怪我|injury, hurt, wound|Noun|Abstract Concept / Fact|||||||
shuzai, 取材, data collection, event coverage, , |shuzai|取材|data collection, event coverage|Noun|Abstract Concept / Fact|||||||
kanki, 短気, quick temper, short temper, , |kanki|短気|quick temper, short temper|Noun|Abstract Concept / Fact|||||||
kanki, 歓喜, short term, , |kanki|歓喜|short term|Noun|Abstract Concept / Fact|||||||
koutsuu, 交通, traffic, transportation, communication, exchange (ideas), intercourse, , |koutsuu|交通|traffic, transportation, communication, exchange (ideas), intercourse|Noun|Abstract Concept / Fact|||||||
bubun, 部分, portion, section, part, , |bubun|部分|portion, section, part|Noun|Abstract Concept / Fact|||||||
seinen, 生年月日, birth year, , |seinen|生年月日|birth year|Noun|Abstract Concept / Fact|||||||
paatii, パーティー, party, , |paatii|パーティー|party|Noun|Abstract Concept / Fact|||88||||
chuumoku, 注目, notice, attention, observation, , |chuumoku|注目|notice, attention, observation|Noun|Abstract Concept / Fact|||||||
eiga, 映画, movie, , |eiga|映画|movie|Noun|Abstract Concept / Fact|||89, 1301||||
shiken, 試験, test, exam, , |shiken|試験|test, exam|Noun|Abstract Concept / Fact|||92||||
tesuto, テスト, test, exam, , |tesuto|テスト|test, exam|Noun|Abstract Concept / Fact|||93||||
yuuki, 勇気, courage, , |yuuki|勇気|courage|Noun|Abstract Concept / Fact|||||||
chuumon, 注文, order, request, 註文, |chuumon|注文|order, request|Noun|Abstract Concept / Fact||||||註文|
shingou, 信号, traffic lights, signal, semaphore, , |shingou|信号|traffic lights, signal, semaphore|Noun|Abstract Concept / Fact|||||||
kopii, コピー, copy, , |kopii|コピー|copy|Noun|Abstract Concept / Fact|||95||||
gaishutsu, 外出, outing, trip, going out, , |gaishutsu|外出|outing, trip, going out|Noun|Abstract Concept / Fact|Specifically going out to drink or to a club.||||||
kurasu, クラス, class, , |kurasu|クラス|class|Noun|Abstract Concept / Fact|As of a subject class.||96||||
jugyou, 授業, class, lesson, , |jugyou|授業|class, lesson|Noun|Abstract Concept / Fact|||97||||
kyoushitsu, 教室, classroom, , |kyoushitsu|教室|classroom|Noun|Abstract Concept / Fact|Refers only to the location.||98||||
bangumi, 番組, programme (e.g.television), , |bangumi|番組|programme (e.g.television)|Noun|Abstract Concept / Fact|||1409||||
shukudai, 宿題, homework, , |shukudai|宿題|homework|Noun|Abstract Concept / Fact|||99, 100||||
imi, 意味, meaning, , |imi|意味|meaning|Noun|Abstract Concept / Fact|||101, 102||||
shibai, 芝居, play, drama, show, , |shibai|芝居|play, drama, show|Noun|Abstract Concept / Fact|As of in a theater.||||||
chuui, 注意, attention, caution, heed, chui, |chuui|注意|attention, caution, heed|Noun|Abstract Concept / Fact||||||chui|
ashimoto, 足元, gait, pace, step, at one's feet, underfoot, 足下, 足もと, 足許, |ashimoto|足元|gait, pace, step, at one's feet, underfoot|Noun|Abstract Concept / Fact||||||足下, 足もと, 足許|
akari, 明かり, 灯かり, light, illumination, glow, beam, 明り, 灯り, 灯, 灯火, |akari|明かり, 灯かり|light, illumination, glow, beam|Noun|Abstract Concept / Fact||||||明り, 灯り, 灯, 灯火|
un, 運, fortune, luck, , |un|運|fortune, luck|Noun|Abstract Concept / Fact|||||||
hitsuyou, 必要, necessity, need, requirement, , |hitsuyou|必要|necessity, need, requirement|Noun|Abstract Concept / Fact|||||||
omoide, 思い出, memories, recollections, reminiscence, 想い出, 思いで, 想いで, 思出, |omoide|思い出|memories, recollections, reminiscence|Noun|Abstract Concept / Fact||||||想い出, 思いで, 想いで, 思出|
teikyuubi, 定休日, regular holiday, , |teikyuubi|定休日|regular holiday|Noun|Abstract Concept / Fact|||||||
gaikokugo, 外国語, foreign language, , |gaikokugo|外国語|foreign language|Noun|Abstract Concept / Fact|||1337||||
mono no ke, 物の怪, (vengeful) ghost, specter, spectre, , |mono no ke|物の怪|(vengeful) ghost, specter, spectre|Noun|Abstract Concept / Fact|||||||
eikyou, 影響, influence, effect, , |eikyou|影響|influence, effect|Noun|Abstract Concept / Fact|||||||
ishimirai, 意志未来, volitional ("should do"), , |ishimirai|意志未来|volitional ("should do")|Noun|Abstract Concept / Fact|||||||
ippou, 一方, one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party, , |ippou|一方|one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party|Noun|Abstract Concept / Fact|||||||
kyoumi, 興味, interest (in something), , |kyoumi|興味|interest (in something)|Noun|Abstract Concept / Fact|||||||
oto, ne, on, 音, sound, noise, report, note (music), , |oto, ne, on|音|sound, noise, report, note (music)|Noun|Abstract Concept / Fact|||62||||
on, 恩, favor, favour, obligation, debt of gratitude, , |on|恩|favor, favour, obligation, debt of gratitude|Noun|Abstract Concept / Fact|||||||
taishitsu, 体質, constitution (physical), genetic make-up, predisposition (to disease), , |taishitsu|体質|constitution (physical), genetic make-up, predisposition (to disease)|Noun|Abstract Concept / Fact|||||||
keikan, 景観, scenery, , |keikan|景観|scenery|Noun|Abstract Concept / Fact|||||||
ruuru, ルール, rules, , |ruuru|ルール|rules|Noun|Abstract Concept / Fact|||||||
kiri, 切り, 限り, end, finish, stop, bounds, limit, final event, , |kiri|切り, 限り|end, finish, stop, bounds, limit, final event|Noun|Abstract Concept / Fact|||||||
kai, 怪, mystery, wonder, , |kai|怪|mystery, wonder|Noun|Abstract Concept / Fact|||||||
jou, tei, 定, constant, , |jou, tei|定|constant|Noun|Abstract Concept / Fact|||||||
kai, 買い, buying, shopping, purchase, buyer, , |kai|買い|buying, shopping, purchase, buyer|Noun|Abstract Concept / Fact|||||||
shoumen, 正面, front, frontage, façade, main, , |shoumen|正面|front, frontage, façade, main|Noun|Abstract Concept / Fact|||||||
kai mono, 買い物, shopping, purchased goods, , |kai mono|買い物|shopping, purchased goods|Noun|Abstract Concept / Fact|||||||
kyuugyou, 休業, holiday, shutdown, , |kyuugyou|休業|holiday, shutdown|Noun|Abstract Concept / Fact|||||||
reitai, 霊体, spirit body, , |reitai|霊体|spirit body|Noun|Abstract Concept / Fact|||||||
mchiawase, 待ち合わせ, appointment, 待ちあわせ, |mchiawase|待ち合わせ|appointment|Noun|Abstract Concept / Fact||||||待ちあわせ|
kouji, 工事, construction work, , |kouji|工事|construction work|Noun|Abstract Concept / Fact|||1365||||
taido, 態度, attitude, behavior, manner, , |taido|態度|attitude, behavior, manner|Noun|Abstract Concept / Fact|||||||
kouji, 公示, edict, public announcement, , |kouji|公示|edict, public announcement|Noun|Abstract Concept / Fact|||||||
zukai, 図解, schematic, schema, illustration, explanatory diagram, , |zukai|図解|schematic, schema, illustration, explanatory diagram|Noun|Abstract Concept / Fact|||||||
kimi, 気味, sensation, feeling, tendency, propensity, , |kimi|気味|sensation, feeling, tendency, propensity|Noun|Abstract Concept / Fact|||||||
kansha, 感謝, thanks, gratitude, , |kansha|感謝|thanks, gratitude|Noun|Abstract Concept / Fact|||||||
tango, 単語, word, , |tango|単語|word|Noun|Abstract Concept / Fact|||||||
katei, 家庭, home, family, household, , |katei|家庭|home, family, household|Noun|Abstract Concept / Fact|||||||
ijou, 異常, strangeness, abnormality, disorder, , |ijou|異常|strangeness, abnormality, disorder|Noun|Abstract Concept / Fact|||||||
kai, 下位, lower rank, subordinate, lower order, low-end, , |kai|下位|lower rank, subordinate, lower order, low-end|Noun|Abstract Concept / Fact|||||||
henkou, 変更, change, modification, alteration, revision, amendment, , |henkou|変更|change, modification, alteration, revision, amendment|Noun|Abstract Concept / Fact|||||||
teokure, 手遅れ, being (too) late, belated treatment, , |teokure|手遅れ|being (too) late, belated treatment|Noun|Abstract Concept / Fact|||||||
wazuka, 僅か, small quantity, , |wazuka|僅か|small quantity|Noun|Abstract Concept / Fact|||||||
kinkyuu, 緊急, emergency, , |kinkyuu|緊急|emergency|Noun|Abstract Concept / Fact|||||||
shoujiki, 正直, honesty, integrity, frankness, , |shoujiki|正直|honesty, integrity, frankness|Noun|Abstract Concept / Fact|||||||
gokaku, 互角, equality, evenness, par, good match, , |gokaku|互角|equality, evenness, par, good match|Noun|Abstract Concept / Fact|||||||
dougu, 道具, implement, tool, means, , |dougu|道具|implement, tool, means|Noun|Abstract Concept / Fact|||||||
owari, 終わり, end, 終り, |owari|終わり|end|Noun|Abstract Concept / Fact||||||終り|
kai, 界, kingdom, erathem, partition of land, , |kai|界|kingdom, erathem, partition of land|Noun|Abstract Concept / Fact|||||||
hantai, 反対, opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa, , |hantai|反対|opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa|Noun|Abstract Concept / Fact|||||||
fusoku, 不足, shortage, lack, , |fusoku|不足|shortage, lack|Noun|Abstract Concept / Fact|||||||
jou, 状, shape, , |jou|状|shape|Noun|Abstract Concept / Fact|||||||
keisan, 計算, calculation, reckoning, count, forecast, , |keisan|計算|calculation, reckoning, count, forecast|Noun|Abstract Concept / Fact|||||||
kinyuu, 記入, entry, filling of forms, , |kinyuu|記入|entry, filling of forms|Noun|Abstract Concept / Fact|||||||
sainou, 才能, talent, ability, , |sainou|才能|talent, ability|Noun|Abstract Concept / Fact|||||||
nokori, 残り, remnant, residue, remainder, left-over, , |nokori|残り|remnant, residue, remainder, left-over|Noun|Abstract Concept / Fact|||||||
jijou, 事情, circumstances, considerations, conditions, situation, reasons, , |jijou|事情|circumstances, considerations, conditions, situation, reasons|Noun|Abstract Concept / Fact|||||||
ketten, 欠点, faults, defects, weaknesses, , |ketten|欠点|faults, defects, weaknesses|Noun|Abstract Concept / Fact|||||||
jitai, 自体, oneself, itself, one's own body, , |jitai|自体|oneself, itself, one's own body|Noun|Abstract Concept / Fact|||||||
gokigen, ご機嫌, humour, humor, temper, mood, spirits, safety, health, well-being, one's situation, , |gokigen|ご機嫌|humour, humor, temper, mood, spirits, safety, health, well-being, one's situation|Noun|Abstract Concept / Fact|Honorific language.||||||
jiki, 時期, time, season, period, , |jiki|時期|time, season, period|Noun|Abstract Concept / Fact|||||||
sakumotsu, 作物, produce, crops, , |sakumotsu|作物|produce, crops|Noun|Abstract Concept / Fact|||||||
shisou, 思想, thought, idea, ideology, , |shisou|思想|thought, idea, ideology|Noun|Abstract Concept / Fact|||||||
kesshin, 決心, determination, resolution, , |kesshin|決心|determination, resolution|Noun|Abstract Concept / Fact|||||||
aizu, 合図, sign, signal, 相図, |aizu|合図|sign, signal|Noun|Abstract Concept / Fact||||||相図|
konsaato, コンサート, concert, , |konsaato|コンサート|concert|Noun|Abstract Concept / Fact|||||||
kiroku, 記録, record, minutes, document, results, score, , |kiroku|記録|record, minutes, document, results, score|Noun|Abstract Concept / Fact|||||||
inga, 因果, cause and effect, karma, fate, , |inga|因果|cause and effect, karma, fate|Noun|Abstract Concept / Fact|||||||
renraku saki, 予約先, advance reservation/booking, , |renraku saki|予約先|advance reservation/booking|Noun|Abstract Concept / Fact|||||||
kokusai, 国際, international, , |kokusai|国際|international|Noun|Abstract Concept / Fact|||||||
kingaku, 金額, amount of money, , |kingaku|金額|amount of money|Noun|Abstract Concept / Fact|||||||
mizushirazu, 見ず知らず, unfamiliarity, strangeness, stranger, , |mizushirazu|見ず知らず|unfamiliarity, strangeness, stranger|Noun|Abstract Concept / Fact|||||||
gyaku, 逆, reverse, opposite, converse, , |gyaku|逆|reverse, opposite, converse|Noun|Abstract Concept / Fact|||||||
shokuhin, 食品, foodstuff, , |shokuhin|食品|foodstuff|Noun|Abstract Concept / Fact|||||||
yuuryou, 有料, toll, fee, charge, admission-paid, yuurio, |yuuryou|有料|toll, fee, charge, admission-paid|Noun|Abstract Concept / Fact||||||yuurio|
jinsei, 人生, human life, , |jinsei|人生|human life|Noun|Abstract Concept / Fact|||||||
baai, 場合, case, situation, , |baai|場合|case, situation|Noun|Abstract Concept / Fact|||1262||||
youjin, 用心, care, precaution, guarding, caution, 要心, |youjin|用心|care, precaution, guarding, caution|Noun|Abstract Concept / Fact||||||要心|
sentaku, 選択, choice, selection, , |sentaku|選択|choice, selection|Noun|Abstract Concept / Fact|||||||
okaidokuhin, お員い得品, bargain, , |okaidokuhin|お員い得品|bargain|Noun|Abstract Concept / Fact|||||||
nedan, 値段, price, , |nedan|値段|price|Noun|Abstract Concept / Fact|||104||||
tachiba, 立場, standpoint, position, situation, , |tachiba|立場|standpoint, position, situation|Noun|Abstract Concept / Fact|||||||
nakami, 中み, contents, , |nakami|中み|contents|Noun|Abstract Concept / Fact|||||||
zengo, 前後, front and back, front and rear, before and behind, before and after, order, context, consequences, , |zengo|前後|front and back, front and rear, before and behind, before and after, order, context, consequences|Noun|Abstract Concept / Fact|||||||
ikka, 一家, house, home, family, household; one's folks, style, , |ikka|一家|house, home, family, household; one's folks, style|Noun|Abstract Concept / Fact|||||||
you, 用, task, business, use, duty, service, call of nature, excretion, , |you|用|task, business, use, duty, service, call of nature, excretion|Noun|Abstract Concept / Fact|||||||
shinchou, 身長, height, , |shinchou|身長|height|Noun|Abstract Concept / Fact|As of height of a person||||||
hitoke, 人気, sign of life, liveliness, , |hitoke|人気|sign of life, liveliness|Noun|Abstract Concept / Fact|||||||
se, 背, height, , |se|背|height|Noun|Abstract Concept / Fact|||105||||
wadai, 話題, topic, subject, , |wadai|話題|topic, subject|Noun|Abstract Concept / Fact|||||||
isogi, 急ぎ, haste, hurry, expedition, speed, dispach, , |isogi|急ぎ|haste, hurry, expedition, speed, dispach|Noun|Abstract Concept / Fact|||||||
sukikirai, 好き嫌い, likes and dislikes, pickiness (about food), choosiness, fussiness, tastes, preferences, , |sukikirai|好き嫌い|likes and dislikes, pickiness (about food), choosiness, fussiness, tastes, preferences|Noun|Abstract Concept / Fact|||||||
gimu, 義務, duty, obligation, responsibility, , |gimu|義務|duty, obligation, responsibility|Noun|Abstract Concept / Fact|||||||
isogiashi, 急ぎ足, fast pace, quick pace, , |isogiashi|急ぎ足|fast pace, quick pace|Noun|Abstract Concept / Fact|||||||
